Company,Theme,Level,Level Name,Use Case,Status,Capability to implement to others,Solution Name,Solution Description,Function in Solution,In-house / Vendor development,Folder_URL
TMA,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,Digital Twin Simulation,Red,Yes,TMA Digital Twin Simulation Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Digital Twin Simulation,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMA,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,Digital PMRS + AI Agentic,Red,Yes,TMA Digital PMRS + AI Agentic Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Digital PMRS + AI Agentic,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMA,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,Autonomous Planning,Red,Yes,TMA Autonomous Planning Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Autonomous Planning,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMA,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,AI Fault Diagnosis Assistant,Red,Yes,TMA AI Fault Diagnosis Assistant Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for AI Fault Diagnosis Assistant,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMA,Production EQ Maintenance,5,Autonomous Jiritsuka MTN,VR Maintenance Training,Red,Yes,TMA VR Maintenance Training Platform,Provides end-to-end visibility and Autonomous Jiritsuka MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for VR Maintenance Training,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L5%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=EbQpSv
TMA,Production EQ Maintenance,4,Predictive Maintenance,Digital PMRS + Predictive Layer,Red,Yes,TMA Digital PMRS + Predictive Layer Platform,Provides end-to-end visibility and Predictive Maintenance capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Digital PMRS + Predictive Layer,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=YnU9AE
TMA,Production EQ Maintenance,4,Predictive Maintenance,Spare Part Usage Prediction (AI),Red,Yes,TMA Spare Part Usage Prediction (AI) Platform,Provides end-to-end visibility and Predictive Maintenance capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Spare Part Usage Prediction (AI),Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=YnU9AE
TMA,Production EQ Maintenance,4,Predictive Maintenance,Spare Part Reorder Alert Prediction,Red,Yes,TMA Spare Part Reorder Alert Prediction Platform,Provides end-to-end visibility and Predictive Maintenance capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Spare Part Reorder Alert Prediction,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L4%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=YnU9AE
TMA,Production EQ Maintenance,3,Condition-based MTN,Digital PMRS,Green,Yes,TMA Digital PMRS Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for Digital PMRS,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,3,Condition-based MTN,M/C Data Monitoring,Green,Yes,TMA M/C Data Monitoring Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for M/C Data Monitoring,In-house,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,3,Condition-based MTN,PM Method Optimization,Red,Yes,TMA PM Method Optimization Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for PM Method Optimization,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,3,Condition-based MTN,RCA Board,Green,Yes,TMA RCA Board Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for RCA Board,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,3,Condition-based MTN,PM Kanban,Yellow,No,TMA PM Kanban Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for PM Kanban,Vendor,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
TMA,Production EQ Maintenance,3,Condition-based MTN,AR Maintenance Training,Red,Yes,TMA AR Maintenance Training Platform,Provides end-to-end visibility and Condition-based MTN capabilities for TMA operations.,Automated Production EQ Maintenance monitoring for AR Maintenance Training,Co-development,https://toyotaasia.sharepoint.com/:f:/r/sites/tmfs1004_3OA/Shared%20Documents/PBI/@DX%20-%20Asia%20Digitalization/DX%20Roadmap/DX%20Maturity%20Catalog/L3%20-%20Production%20EQ%20Maintenance?csf=1&web=1&e=cnsOHP
